"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"315","Sanchez","Linda","CA","D","California",4750,0,0,0,4500,0
"316","Beatty","Joyce","OH","D","Ohio",4500,0,0,0,1500,0
"317","Bentivolio","Kerry","MI","R","Michigan",4500,0,0,0,0,0
"318","Levin","Sander","MI","D","Michigan",4500,0,2000,2000,3095,1000
"319","Norcross","Don","NJ","D","New Jersey",4500,0,0,1000,0,1000
"320","Ruppersberger","Dutch","MD","D","Maryland",4500,1000,1000,2000,0,7800
"321","Tonko","Paul","NY","D","New York",4500,0,0,3500,4750,10800
"322","Schrader","Kurt","OR","D","Oregon",4250,1000,1000,2500,0,1000
"323","Hahn","Janice","CA","D","California",4000,0,0,0,1000,0
"324","King","Pete","NY","R","New York",4000,0,0,2000,0,3000
"325","Lofgren","Zoe","CA","D","California",4000,0,0,0,2000,12400
"326","Lynch","Stephen","MA","D","Massachusetts",4000,0,700,1000,0,1000
"327","McGovern","James P","MA","D","Massachusetts",4000,0,0,0,1250,0
"328","Moran","Jim","VA","D","Virginia",4000,0,2600,3000,8500,0
"329","Norton","Eleanor Holmes","DC","D","District of Columbia",4000,0,0,3000,0,0
"330","Duckworth","Tammy","IL","D","Illinois",3750,0,0,2500,27599,13850
"331","Kuster","Ann","NH","D","New Hampshire",3750,0,0,0,61095,9500
"332","Courtney","Joe","CT","D","Connecticut",3500,0,0,0,5750,0
"333","Diaz-Balart","Mario","FL","R","Florida",3500,0,0,0,8000,0
"334","Kildee","Dan","MI","D","Michigan",3500,0,0,0,4235,800
"335","Lipinski","Daniel","IL","D","Illinois",3500,0,0,0,0,0
"336","Pierluisi","Pedro","PR","D","Puerto Rico",3500,0,0,3500,1000,500
"337","Braley","Bruce","IA","D","Iowa",3375,0,5000,0,127917,34150
"338","Honda","Mike","CA","D","California",3350,0,700,0,27117,3925
"339","Bass","Karen","CA","D","California",3250,0,3500,750,3600,1000
"340","Roe","Phil","TN","R","Tennessee",3250,0,0,0,0,0
"341","Heck","Dennis","WA","D","Washington",3100,0,0,100,11250,5000
"342","Buchanan","Vernon","FL","R","Florida",3000,0,0,3000,0,0
"343","Bustos","Cheri","IL","D","Illinois",3000,0,0,2000,21946,16000
"344","Capps","Lois","CA","D","California",3000,0,0,0,42000,0
"345","Edwards","Donna","MD","D","Maryland",3000,0,0,3000,8750,0
"346","Eshoo","Anna","CA","D","California",3000,0,0,1000,3210,11900
"347","Latham","Tom","IA","R","Iowa",3000,1044,1599,2000,0,3500
"348","Miller","Jeff","FL","R","Florida",3000,0,0,0,7600,0
"349","Sarbanes","John","MD","D","Maryland",3000,0,0,0,0,5000
"350","Ellison","Keith","MN","D","Minnesota",2750,0,0,500,7700,750
"351","Waxman","Henry","CA","D","California",2600,0,0,0,22949,4600
"352","Blumenauer","Earl","OR","D","Oregon",2500,0,0,2000,11250,8842
"353","Christian-Christensen","Donna","VI","D","Virgin Islands",2500,0,0,1500,0,0
"354","Delaney","John K","MD","D","Maryland",2500,0,0,2500,5000,0
"355","Fattah","Chaka","PA","D","Pennsylvania",2500,0,1000,2500,0,0
